state,year,avg_home_price
South Carolina,2015,155072
South Carolina,2016,164027
South Carolina,2017,171891
South Carolina,2018,181909
South Carolina,2019,191434
South Carolina,2020,204528
South Carolina,2021,235420
South Carolina,2022,278160
South Carolina,2023,290480
South Carolina,2024,299753
South Carolina,2025,300304
South Dakota,2015,170040
South Dakota,2016,178162
South Dakota,2017,185711
South Dakota,2018,194519
South Dakota,2019,204175
South Dakota,2020,216977
South Dakota,2021,246891
South Dakota,2022,285144
South Dakota,2023,293435
South Dakota,2024,300218
South Dakota,2025,307604
Tennessee,2015,152900
Tennessee,2016,163707
Tennessee,2017,176084
Tennessee,2018,188969
Tennessee,2019,202195
Tennessee,2020,219356
Tennessee,2021,255592
Tennessee,2022,304434
Tennessee,2023,314321
Tennessee,2024,325708
Tennessee,2025,327586
Texas,2015,166468
Texas,2016,179233
Texas,2017,190999
Texas,2018,202896
Texas,2019,212137
Texas,2020,223444
Texas,2021,256131
Texas,2022,301778
Texas,2023,304078
Texas,2024,304538
Texas,2025,299361
Utah,2015,236921
Utah,2016,259290
Utah,2017,281678
Utah,2018,308195
Utah,2019,332144
Utah,2020,361828
Utah,2021,444407
Utah,2022,520623
Utah,2023,503899
Utah,2024,511350
Utah,2025,520594
Vermont,2015,228061
Vermont,2016,231253
Vermont,2017,241594
Vermont,2018,252129
Vermont,2019,258633
Vermont,2020,273179
Vermont,2021,315630
Vermont,2022,357909
Vermont,2023,376556
Vermont,2024,388355
Vermont,2025,383064
Virginia,2015,237143
Virginia,2016,244016
Virginia,2017,252605
Virginia,2018,261993
Virginia,2019,271737
Virginia,2020,287332
Virginia,2021,323002
Virginia,2022,355390
Virginia,2023,369549
Virginia,2024,388590
Virginia,2025,398617
Washington,2015,273588
Washington,2016,304110
Washington,2017,337475
Washington,2018,372586
Washington,2019,392012
Washington,2020,426143
Washington,2021,506546
Washington,2022,576531
Washington,2023,563097
Washington,2024,582295
Washington,2025,588187
West Virginia,2015,108527
West Virginia,2016,111418
West Virginia,2017,112364
West Virginia,2018,116181
West Virginia,2019,118833
West Virginia,2020,124091
West Virginia,2021,140848
West Virginia,2022,153024
West Virginia,2023,157371
West Virginia,2024,165577
West Virginia,2025,171096
Wisconsin,2015,161128
Wisconsin,2016,169288
Wisconsin,2017,179124
Wisconsin,2018,190497
Wisconsin,2019,202474
Wisconsin,2020,216228
Wisconsin,2021,244427
Wisconsin,2022,268386
Wisconsin,2023,284791
Wisconsin,2024,299749
Wisconsin,2025,312922
Wyoming,2015,222229
Wyoming,2016,229139
Wyoming,2017,229976
Wyoming,2018,233714
Wyoming,2019,244236
Wyoming,2020,259918
Wyoming,2021,286107
Wyoming,2022,316763
Wyoming,2023,328531
Wyoming,2024,339729
Wyoming,2025,355619
